RMS_CDW_ID,General_Offense_Number,Offense_Code,Offense_Code_Extension,Offense_Type,Summary_Offense_Code,Summarized_Offense_Description,Date_Reported,Occurred_Date_or_Date_Range_Start,Occurred_Date_Range_End,Hundred_Block_Location,District_Sector,Zone_Beat,Census_Tract_2000,Longitude,Latitude,Location,Month,Year
329716,201517547,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/16/2015 02:30:00 PM,01/15/2015 07:19:00 AM,,19XX BLOCK OF N 46 ST,B,B3,5100.1022,-122.334455598,47.66212706,"(47.66212706, -122.334455598)",1,2015
420661,2015142040,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/01/2015 09:58:00 AM,04/30/2015 04:00:00 PM,04/30/2015 10:30:00 PM,21XX BLOCK OF 6 AV,D,D2,7200.1057,-122.340264678,47.615544929,"(47.615544929, -122.340264678)",5,2015
472978,2015196413,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/12/2015 07:41:00 AM,06/11/2015 06:45:00 PM,06/11/2015 09:00:00 PM,3XX BLOCK OF 9 AV,G,G1,8500.3001,-122.323443935,47.604128076,"(47.604128076, -122.323443935)",6,2015
473146,20151965453,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/12/2015 01:24:00 PM,06/11/2015 08:33:00 PM,06/11/2015 08:52:00 PM,130XX BLOCK OF LAKE CITY WY NE,L,L3,100.3002,-122.292840975,47.723795094,"(47.723795094, -122.292840975)",6,2015
478620,2015208129,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,06/20/2015 03:22:00 PM,06/20/2015 03:00:00 PM,06/20/2015 03:17:00 PM,27XX BLOCK OF CALIFORNIA AV SW,W,W1,9800.1024,-122.38665976,47.578324396,"(47.578324396, -122.38665976)",6,2015
507641,2015243379,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,07/16/2015 01:38:00 PM,07/16/2015 01:38:00 PM,,40XX BLOCK OF EVANSTON AV N,B,B2,4900.4017,-122.351115579,47.656039031,"(47.656039031, -122.351115579)",7,2015
528329,2015297988,2399,3,THEFT-OTH,2300,OTHER PROPERTY,08/18/2015 06:48:00 PM,08/18/2015 03:00:00 PM,08/18/2015 03:10:00 PM,4XX BLOCK OF NE NORTHGATE WY,L,L2,1200.4010,-122.324615155,47.7086028,"(47.7086028, -122.324615155)",8,2015
529944,2015289817,2399,3,THEFT-OTH,2300,OTHER PROPERTY,08/19/2015 11:16:00 PM,08/19/2015 11:16:00 PM,,1XX BLOCK OF YESLER WY,K,K1,8100.1036,-122.334038713,47.601722113,"(47.601722113, -122.334038713)",8,2015
531224,201529306708,2399,3,THEFT-OTH,2300,OTHER PROPERTY,08/22/2015 02:25:00 PM,08/13/2015 10:00:00 AM,08/15/2015 03:00:00 PM,30XX BLOCK OF 10 AV W,Q,Q2,5900.2018,-122.370405396,47.647659277,"(47.647659277, -122.370405396)",8,2015
602870,20154487735,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/29/2015 09:41:00 AM,12/23/2015 12:00:00 AM,12/28/2015 12:00:00 AM,38XX BLOCK OF NE 68 ST,U,U3,3900.1021,-122.286552429,47.677600861,"(47.677600861, -122.286552429)",12,2015
617484,2015442969,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/23/2015 06:46:00 AM,12/23/2015 06:26:00 AM,,95XX BLOCK OF INTERLAKE AV N,N,N3,1300.3021,-122.340820313,47.698699951,"(47.698699951, -122.340820313)",12,2015
658814,2015908802,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/29/2015 02:35:00 PM,12/26/2015 01:20:00 PM,12/29/2015 02:20:00 PM,96XX BLOCK OF 15 AV NE,L,L2,2000.2008,-122.312141418,47.698978424,"(47.698978424, -122.312141418)",12,2015
658816,2015908741,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 11:17:00 PM,12/15/2015 11:00:00 AM,12/15/2015 06:00:00 PM,36XX BLOCK OF 14 AV W,Q,Q2,5900.1024,-122.374900818,47.653083801,"(47.653083801, -122.374900818)",12,2015
658820,2015908731,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 06:10:00 PM,12/29/2015 08:45:00 AM,12/29/2015 10:00:00 AM,51XX BLOCK OF S SPENCER ST,R,R3,10200.2025,-122.267669678,47.547454834,"(47.547454834, -122.267669678)",12,2015
658825,2015908721,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 10:22:00 AM,12/23/2015 09:30:00 AM,12/23/2015 10:30:00 AM,86XX BLOCK OF 29 AV SW,F,F2,11401.2009,-122.369911194,47.52557373,"(47.52557373, -122.369911194)",12,2015
658828,2015908720,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 10:07:00 AM,12/29/2015 10:30:00 AM,12/29/2015 12:00:00 PM,92XX BLOCK OF 20 AV NE,L,L2,2000.1007,-122.30682373,47.696212769,"(47.696212769, -122.30682373)",12,2015
658830,2015908739,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 11:11:00 PM,12/10/2015 02:00:00 PM,12/10/2015 06:00:00 PM,36XX BLOCK OF 14 AV W,Q,Q2,5900.1024,-122.374900818,47.653083801,"(47.653083801, -122.374900818)",12,2015
658831,2015908738,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 10:57:00 PM,12/07/2015 01:33:00 PM,12/07/2015 06:00:00 PM,36XX BLOCK OF 14 AV W,Q,Q2,5900.1024,-122.374900818,47.653083801,"(47.653083801, -122.374900818)",12,2015
658879,2015449093,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/29/2015 03:29:00 PM,12/29/2015 03:29:00 PM,12/29/2015 03:29:00 PM,FAIRVIEW AV / DENNY WY,D,D2,7300.2005,-122.334259033,47.618515015,"(47.618515015, -122.334259033)",12,2015
658900,2015448735,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/29/2015 09:41:00 AM,12/23/2015 12:00:00 AM,12/28/2015 12:00:00 AM,38XX BLOCK OF NE 68 ST,U,U3,3900.1021,-122.286552429,47.677600861,"(47.677600861, -122.286552429)",12,2015
658945,2015449867,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 10:01:00 AM,12/29/2015 02:15:00 PM,12/29/2015 02:35:00 PM,77XX BLOCK OF 46 AV SW,W,W3,11600.6021,-122.391540527,47.533618927,"(47.533618927, -122.391540527)",12,2015
658948,2015450111,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 01:43:00 PM,12/30/2015 12:59:00 PM,,9XX BLOCK OF N 97 ST,N,N3,1300.3015,-122.345977783,47.699623108,"(47.699623108, -122.345977783)",12,2015
658954,2015449984,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,12/30/2015 12:32:00 PM,12/23/2015 12:01:00 AM,12/27/2015 11:59:00 PM,42XX BLOCK OF 12 AV NE,U,U2,5301.3006,-122.315498352,47.65908432,"(47.65908432, -122.315498352)",12,2015
658981,2015450056,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 01:14:00 PM,12/30/2015 12:00:00 PM,12/30/2015 01:14:00 PM,41XX BLOCK OF 46 AV SW,W,W2,9702.2014,-122.390808105,47.565689087,"(47.565689087, -122.390808105)",12,2015
658985,2015450541,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 08:14:00 PM,12/30/2015 08:14:00 PM,,6XX BLOCK OF 21 AV,G,G2,8700.1018,-122.305023193,47.607589722,"(47.607589722, -122.305023193)",12,2015
658986,2015450635,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 10:16:00 PM,12/30/2015 09:59:00 PM,,16XX BLOCK OF E OLIVE WY,E,E1,7402.1006,-122.324829102,47.619274139,"(47.619274139, -122.324829102)",12,2015
658987,2015450644,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 10:15:00 PM,12/30/2015 03:45:00 PM,,11XX BLOCK OF 8 AV,E,E3,8200.2000,-122.329452515,47.609016418,"(47.609016418, -122.329452515)",12,2015
658994,2015450157,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 02:21:00 PM,12/29/2015 01:00:00 AM,,85XX BLOCK OF GREENWOOD AV N,J,J1,1701.1003,-122.355308533,47.691505432,"(47.691505432, -122.355308533)",12,2015
658995,2015450076,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 01:03:00 PM,12/30/2015 01:03:00 PM,,52XX BLOCK OF 15 AV NE,U,U1,4400.4000,-122.311897278,47.667484283,"(47.667484283, -122.311897278)",12,2015
658999,2015449935,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 11:13:00 AM,12/30/2015 10:39:00 AM,,23XX BLOCK OF ELLIOTT AV,D,D1,8002.2011,-122.348884583,47.612430573,"(47.612430573, -122.348884583)",12,2015
659003,2015450343,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 04:40:00 PM,12/25/2015 01:00:00 AM,,52XX BLOCK OF 15 AV NE,U,U1,4400.3005,-122.311897278,47.667484283,"(47.667484283, -122.311897278)",12,2015
659008,2015450260,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/30/2015 03:29:00 PM,12/28/2015 01:00:00 PM,,4XX BLOCK OF BROADWAY E,E,E1,7401.2004,-122.320915222,47.622558594,"(47.622558594, -122.320915222)",12,2015
659053,2015908709,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/28/2015 01:01:00 PM,12/24/2015 11:30:00 PM,12/26/2015 12:50:00 PM,140XX BLOCK OF 36 AV NE,L,L3,100.2004,-122.289680481,47.731010437,"(47.731010437, -122.289680481)",12,2015
659074,2015447641,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/28/2015 10:25:00 AM,12/23/2015 12:00:00 PM,12/23/2015 02:30:00 PM,5XX BLOCK OF PIKE ST,M,M3,8200.1004,-122.335014343,47.610908508,"(47.610908508, -122.335014343)",12,2015
659076,2015447645,2399,3,THEFT-OTH,2300,OTHER PROPERTY,12/28/2015 09:49:00 AM,12/24/2015 12:00:00 AM,12/28/2015 06:00:00 AM,50XX BLOCK OF UNIVERSITY WY NE,U,U1,4400.4008,-122.313064575,47.665668488,"(47.665668488, -122.313064575)",12,2015
